sitename,address,city,dist,lat,lon
全家中和景秀店站,新北市中和區景平路71-2號(近秀峰街/景德街口),新北市,中和區,24.9913149,121.5193012
新北市景新立體停車場B1F站,新北市中和區景新街399巷12號(地下一樓機車停車場)(近景新國小),新北市,中和區,24.9896913,121.5132247
全聯中和新生店站,新北市中和區新生街255、257號(近新生街/新生街220巷口),新北市,中和區,24.9982692,121.4840997
中和錦和運動公園站,新北市中和區錦和路350-1號(近新北市立錦和高中),新北市,中和區,24.9922276,121.4881055
HiLife 北縣五春店站,新北市五股區五工五路18號(近五工五路/五權三路口),新北市,五股區,25.0641196,121.4530988
7-ELEVEN 新台店站,新北市五股區五工六路14號(近新北市勞工活動中心),新北市,五股區,25.0621818,121.4506434
HiLife 五股福鑫店站,新北市五股區五福路8號(近五股區農會),新北市,五股區,25.0874318,121.4343016
五股洲子洋公園站,新北市五股區成泰路三段與洲子路交叉口(近成泰路三段/洲子路交叉口),新北市,五股區,25.0948245,121.4478557
新北市成州停車場站,新北市五股區凌雲路一段149巷61號(近凌雲路一段149巷61號後方空地),新北市,五股區,25.1009518,121.4481473
中油信誠加油站,新北市五股區新五路二段258號(近新北市立圖書館五股分館),新北市,五股區,25.08146,121.4407523
車太炫自助洗車五股新五店站,新北市五股區新五路二段275號(近新五路/芳洲一路口),新北市,五股區,25.0857565,121.4425097
南山社區站,新北市平溪區靜安路三段250號(近十分風景區),新北市,平溪區,25.0400867,121.7760231
Gogoro 永和中正店站,新北市永和區中正路236號(近八二三紀念公園),新北市,永和區,24.9980489,121.5164085
永和仁愛公園站,新北市永和區仁愛路244-1號(近仁愛路/永貞路口),新北市,永和區,25.0100883,121.5062099
新北市頂溪國小地下停車場B1F站,新北市永和區文化路133號(地下一樓機車停車場)(近頂溪國小),新北市,永和區,25.0152952,121.5114852
新北市養工處永和民權路站,新北市永和區民權路40號對面(近秀朗樂活停車場),新北市,永和區,24.9986572,121.5200673
JOS CAFE & WORK 站,新北市永和區永利路108號(近福和國中),新北市,永和區,25.0033402,121.5212278
Gogoro 永和成功服務中心站,新北市永和區成功路二段144號(近成功路二段/秀朗路三段口),新北市,永和區,24.9970822,121.5264466
新北市永和區公所站,新北市永和區竹林路200號(近永和分局),新北市,永和區,25.0092058,121.5203644
新北市永和國父紀念館站,新北市永和區竹林路202號(近新北市立圖書館永和分館),新北市,永和區,25.0087038,121.52025
Diamond+專業汽車美容中心站,新北市永和區保安路23號(近保安路/文化路口),新北市,永和區,25.0167159,121.510368
新北市保生路平面停車場站,新北市永和區保安路292號旁(近永和仁愛公園),新北市,永和區,25.0120246,121.5053192
全家永和國和店站,新北市永和區國中路86巷2號(近永和國中),新北市,永和區,25.0059336,121.5248394
PGO 永和福和店站,新北市永和區福和路336號(近福和路/自由路口),新北市,永和區,25.0074284,121.5153668
中油石門加油站,新北市石門區中央路1之15號(近石門國中),新北市,石門區,25.291398,121.5648289
新北市白沙灣遊客中心站,新北市石門區德茂里下員坑33-6號(近白沙灣停車場),新北市,石門區,25.27841,121.521283
雅香茶莊站,新北市石碇區北宜路六段13股巷1號(近十三股),新北市,石碇區,24.9474529,121.6493261
新北市石碇區公所站,新北市石碇區碇坪路一段37號(近石碇區公所),新北市,石碇區,24.9915255,121.6579206
台亞汐止好市多加油站,新北市汐止區大同路一段154號(近好市多COSTCO汐止店),新北市,汐止區,25.055856,121.6321369
中油汐止加油站,新北市汐止區大同路一段353號(近大同路一段 /樟樹二路口),新北市,汐止區,25.0602955,121.6399189
Gogoro 汐止大同服務中心站,新北市汐止區大同路二段290號(近汐止國小),新北市,汐止區,25.0663185,121.6550966
台亞汐止大同加油站,新北市汐止區大同路二段37號(近汐科火車站),新北市,汐止區,25.0630685,121.6478639
汐止公園站,新北市汐止區大同路二段451號(近新北市消防局汐止分隊),新北市,汐止區,25.0677763,121.6591327
車太炫自助洗車新北汐止店站,新北市汐止區汐萬路一段39-5號(近汐止國小),新北市,汐止區,25.0692392,121.6548506
PGO 汐止康寧店站,新北市汐止區康寧街377號(近康寧街/中興路口),新北市,汐止區,25.0678177,121.6289387
eReady 汐止康寧店站,新北市汐止區康寧街470號(近康寧街/康寧街474巷口),新北市,汐止區,25.0682998,121.6320345
中油明湖加油站,新北市汐止區康寧街536號(近康寧街/康寧街534巷交叉口),新北市,汐止區,25.068863,121.634138
